,book_name,asin
51,A Game of Thrones: The Graphic Novel: Volume One,044042321X
52,A Graphix Book: Wings of Fire Graphic Novel #1: The Dragonet Prophecy,0545942152
53,A Clash of Kings: The Graphic Novel: Volume One (A Game of Thrones: The Graphic Novel),0440423244
54,"Ready, Set, Novel!: A Workbook",1452101728
55,Stephen King's The Dark Tower: Beginnings: The Complete Graphic Novel Series,1982110201
56,New York: The Novel,0345497422
57,"The Teacher: A City Streets, Country Roads Novel",B00DZCUXJS
58,Storm On The Horizon: A paranormal Regency romance novella,B00BA1BJD0
59,Game Changer: A Contemporary Romance Novel (Playing Games #1),B00QWDUAE0
60,Tear It Down (A Peter Ash Novel),0399575669
61,Robert B. Parker's Colorblind (A Jesse Stone Novel),0399574948
62,Anything for You: An O'Brien Brothers Novel,B07GFCVLDF
63,The Guernsey Literary and Potato Peel Pie Society (Random House Reader's Circle Deluxe Reading Group Edition): A Novel,B0067AC118
64,Before We Were Yours: A Novel,0425284689
65,J.J. Green Reading List: A Guide to the Science Fiction Novels of J.J. Green,B07HGV8WJV
66,Musashi: An Epic Novel of the Samurai Era,156836427X
67,Promised Land: A Novel of Israel,1250118824
68,The Displaced: Fall of a Fortress — A Classic Historical Fiction Novel: Volume 1 of 3,B07BYV15NM
69,Summer Spark: A Contemporary Romance Novella (Four Seasons Serial Book 1),B00QVT7M5U
70,Dawn and the Impossible Three (The Baby-sitters Club Graphic Novel #5): A Graphix Book (The Baby-Sitters Club Graphix),1338067117
71,In Another World With My Smartphone: Volume 11,B07J6G451L
72,The Storied Life of A. J. Fikry: A Novel,1616204516
73,The Silent Corner: A Novel of Suspense (Jane Hawk),B01LY7FAHO
74,Hotel Sacher: A Novel,B079MC631J
75,Luckiest Girl Alive: A Novel,B00LD1OITO
76,The Brontë Sisters: The Complete Novels,B0776YWSP4
77,What the Hell Did I Just Read: A Novel of Cosmic Horror (John Dies at the End),1250040205
78,"The Complete Patrick Melrose Novels: Never Mind, Bad News, Some Hope, Mother's Milk, and At Last (The Patrick Melrose Novels)",1250069602
79,Kindred: A Graphic Novel Adaptation,141970947X
80,"Overlord, Vol. 3 (light novel): The Bloody Valkyrie",B01G1K1RV8
81,"My Brilliant Friend: Neapolitan Novels, Book One",1609450787
82,Brides of England: Four Full Length Medieval Romance Novels,B07GT8HLYK
83,"Those Who Leave and Those Who Stay: Neapolitan Novels, Book Three",160945233X
84,"Leverage in Death: An Eve Dallas Novel (In Death, Book 47)",B078X1YCM2
85,Ghost Fleet: A Novel of the Next World War,054470505X
86,Cherry: A novel,0525520139
87,The Whispering Room: A Jane Hawk Novel,B071CJBDJL
88,Transcription: A Novel,031617663X
89,The Lost Heir (Wings of Fire Graphic Novel 2): A Graphix Book,0545942209
90,White Houses: A Novel,B074656PYS
91,The Graphic Novel: An Introduction (Cambridge Introductions to Literature (Paperback)),1107655765
92,Sabrina,177046316X
93,Anne Frank's Diary: The Graphic Adaptation (Pantheon Graphic Library),1101871792
94,Resurrection: A Zombie Novel: Resurrection Book 1,B00IY1GV32
95,Take Me Higher: A Castaletta Syndicate Novel (The Casteletta Syndicate Book 1),B07DSFT7NS
96,Structuring Your Novel: Essential Keys for Writing an Outstanding Story,0985780401
97,"The Story of a New Name: Neapolitan Novels, Book Two",1609451341
98,Finding Pride (Pride Series Romance Novels Book 1),B009LQKHIO
99,Warlight: A novel,0525521194
100,A Gentleman in Moscow: A Novel,0670026190
101,The Story of Arthur Truluv: A Novel,B01M5I2JP9
102,"Olympians Boxed Set: Zeus, Athena, Hera, Hades, Poseidon & Aphrodite",1626720592
103,The Great Alone: A Novel,B06Y5WRS2C
104,The Edge of Courage (A Red Team Novel Book 1),B007WXJ0H2
105,Fake Blood,1481495577
106,"Death March to the Parallel World Rhapsody, Vol. 6 (light novel) (Death March to the Parallel World Rhapsody (light novel))",B07B2TDMRH
107,The Tattooist of Auschwitz: A Novel,0062797158
108,Stone Devil Duke: A Hold Your Breath Novel,B00JT1HP5Y
109,Romance: Desire - A Contemporary Romance Novel (The Jane Parkett Romance Series Book 1),B016T6UFNK
110,Anne of Green Gables: A Graphic Novel,144947960X
111,Star Wars: Original Trilogy Graphic Novel,1484737849
112,PILGRIMAGE OF PROMISE (A Miller's Creek Novel Book 4),B00C047D6S
113,A Ring of Truth: A Henrietta and Inspector Howard Novel,B06WVRTTR8
114,The Woman in the Window: A Novel,0062678418
115,The Little Old Lady Who Broke All the Rules: A Novel (League of Pensioners),0062447971
116,Nail Your Novel Instant Fix: 100 tips for fascinating characters,B0199911U0
117,5 Secrets of Story Structure: How to Write a Novel That Stands Out (Helping Writers Become Authors Book 6),B01BHE3HXE
118,"A Novel Approach to Politics: Introducing Political Science through Books, Movies, and Popular Culture",1506368654
119,I Liked My Life: A Novel,1250084873
120,You Loved Me At My Darkest,B00N1PMYR8
121,An American Marriage: A Novel (Oprah's Book Club 2018 Selection),1616208775
122,Kellie's Diary #3,B00D7X2SO8
123,ESCANTA: A James Thomas Novel (The James Thomas Series Book 1),B01D28JE0I
124,Poe: Stories and Poems: A Graphic Novel Adaptation by Gareth Hinds,0763695092
125,LaRose: A Novel,B01415U50O
126,Outlining Your Novel Workbook: Step-by-Step Exercises for Planning Your Best Book,0985780428
127,Oil and Marble: A Novel of Leonardo and Michelangelo,1628729066
128,The Shakespeare Requirement: A Novel,0385542348
129,Percy Jackson and the Olympians:  The Titan's Curse: The Graphic Novel (Percy Jackson and the Olympians: The Graphic Novel Book 3),B00DR1DWA4
130,The Music Shop: A Novel,B01NAFLSXD
131,Gentleman of Her Dreams (Ladies of Distinction): A Novella,B0091T62FS
132,Desperate Measures (A Stone Barrington Novel),0735219222
133,Shattered Mirror: An Eve Duncan Novel,B072QBL6P1
134,"Overlord, Vol. 10 (light novel)",0316444987
135,One Scottish Lass - A Regency Time Travel Romance Novella,B00NK3IACE
136,The Women in the Castle: A Novel,0062563661
137,Tame A Wild Heart (Tame Series Book 1),B005JFMPYU
138,How to Write an Autobiographical Novel: Essays,1328764524
139,Novel & Short Story Writer's Market 2019: The Most Trusted Guide to Getting Published,1440354375
140,"The Lightning Thief: The Graphic Novel (Percy Jackson & the Olympians, Book 1)",1423117107
141,El Deafo,1419712179
142,In His Father's Footsteps: A Novel,0399179267
143,The Neapolitan Novels by Elena Ferrante Boxed Set,B079MDD33J
144,Red War (A Mitch Rapp Novel),1501190598
145,MOONRISE: A Werewolf Novel (MOONRISE Series Book 1),B072TYCDFQ
146,Ash: A novella in the Wheels and Zombies series,B01AF2XR2A
147,Past Tense: A Jack Reacher Novel,0399593519
148,Baby Teeth: A Novel,B076ZTC4GQ
149,Dear Evan Hansen: The Novel,0316420239
150,"Konosuba: God's Blessing on This Wonderful World!, Vol. 6 (light novel): Princess of the Six Flowers (Konosuba (light novel))",0316468800
151,The Secrets on Chicory Lane: A Novel,B06ZXZ6SS3
152,My Name Is Lucy Barton: A Novel,B011G3HG5G
153,Paris in the Present Tense: A Novel,B073HHG1Y8
154,"The Mortal Instruments: The Graphic Novel, Vol. 2",0316465828
156,Matterhorn: A Novel of the Vietnam War,0802145310
157,[Neapolitan Novels 4 Books Set] (By Elena Ferrante Neapolitan Books):My Brilliant Friend/Story of a New Name/Those Who Leave and Those Who Stay/The Story of the Lost Child,B01HFQP8EO
158,"Re:ZERO -Starting Life in Another World-, Vol. 8 (light novel)",1975301935
159,The Reckoning: A Novel,0385544154
160,"The Story of the Lost Child: Neapolitan Novels, Book Four",1609452860
161,"Warriors Novella Box Set: The Untold Stories, Tales from the Clans, Shadows of the Clans, Legends of the Clans",0062747177
162,The Gold Mine: A Novel of Lean Turnaround,0974322563
163,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 12 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?)",1975354788
164,A Promise Of Home (A Lake Howling Novel Book 1),B00U4FDG6Q
165,Time's Convert: A Novel,B079KW48X9
166,Eleanor Oliphant Is Completely Fine: A Novel,B01KGZVTOE
167,Paris: The Novel,B009Y4I5N2
168,Beartown: A Novel,B01KG5GQDS
169,Monster: A Graphic Novel,0062274996
170,"A Work in Progress: A New Adult Contemporary Christian Romance Novel (The Faith Series, Book 1)",B004JN05KY
171,Love Is Blind: A novel,0525655263
172,Britt-Marie Was Here: A Novel,B017RNBRRW
173,Sarum: The Novel of England,0449000729
174,Fear University Series: Books 1-3 + Novella,B079M5V6YW
175,Marlena: A Novel,B01LYYHKFR
176,"The Man Who Wrote the Perfect Novel: John Williams, Stoner, and the Writing Life",1477317368
177,4 3 2 1: A Novel,B01IA6FM76
178,Fast as the Wind A Novel,B004UIZ7XS
179,DC Comics/Dark Horse: Batman vs. Predator (Batman DC Comics Dark Horse Comics),1401270786
180,Becoming Red (The Becoming Novels Book 1),B00AGLRUYC
181,The Beatles Yellow Submarine,1785863940
182,Midnight at the Bright Ideas Bookstore: A Novel,B01MDTCBVZ
183,Whole Novels for the Whole Class: A Student-Centered Approach,1118526503
184,A Murder of Quality: A George Smiley Novel (George Smiley Novels Book 2),B0081KYZPW
185,"That Time I Got Reincarnated as a Slime, Vol. 4 (light novel) (That Time I Got Reincarnated as a Slime (light novel))",1975301145
186,Gateway to the Moon: A Novel,B073YT1PRP
187,The Outsider: A Novel,B078M5G7XH
188,Shot All to Hell: A Graphic Novel,1683831519
189,"My Youth Romantic Comedy Is Wrong, As I Expected, Vol. 6 (light novel)",0316411868
190,Seconds: A Graphic Novel,0345529375
191,James Baldwin: Early Novels and Stories: Go Tell It on a Mountain / Giovanni's Room / Another Country / Going to Meet the Man,1883011515
192,Writing the Breakout Novel: Insider Advice for Taking Your Fiction to the Next Level,158297182X
193,Capturing the Earl’s Love: A free Novella (Marlow Intrigues),B00JO2W4U4
194,The Kurdish Bike: A Novel,0692758100
195,The Drawing Lesson: A Graphic Novel That Teaches You How to Draw,0385346336
196,Coraline: The Graphic Novel,0060825456
197,The Overstory: A Novel,039363552X
198,Accounting for Love: A Western Romance Novel (Long Valley Book 1),B07B7M6B4P
199,Outlining Your Novel: Map Your Way to Success,0978924622
200,We Were the Lucky Ones: A Novel,B01FRSZAUO
201,Year of Wonders: A Novel of the Plague,B0029WILXK
202,Never Too Late (A Henlit Novel Book 1),B01FTOYIZY
203,Light It Up (A Peter Ash Novel),B0727MJKWQ
204,Dark Sacred Night (A Ballard and Bosch Novel),0316484806
205,Everybody's Son: A Novel,B01LYGHD1V
206,The Champions of Justice and the Supreme Ruler of Evil (Light Novel),B07FZBWL5F
207,"Kiss a Girl in the Rain (Take a Chance, Book 1)",B00IDFHIVS
208,Miss Peregrine's Home for Peculiar Children: The Graphic Novel (Miss Peregrine's Peculiar Children: The Graphic Novel),0316245283
209,Arifureta: From Commonplace to World's Strongest (Light Novel) Vol. 6,1642751111
210,The Redeemers (A Quinn Colson Novel Book 5),B00OQS4CC4
211,Robert B. Parker's The Devil Wins (Jesse Stone Novels Book 14),B00SI0B7WE
212,The Red Coat - A Novel of Boston,0986223808
213,The Big Book of Graphic Novels for Minecrafters: Three Unofficial Adventures,1510727159
214,The Storyteller's Secret: A Novel,1503949087
215,"Death March to the Parallel World Rhapsody, Vol. 2 (light novel) (Death March to the Parallel World Rhapsody (light novel))",B01M2BLMBO
216,Jane Austen: The Complete Novels,B07HM36S5M
217,Ruined by a Rake - An All's Fair in Love Novella,B00C4CSUDG
218,The Adventure Zone: Here There Be Gerblins,1250153700
219,A Drop in the Ocean: A Novel,1631520261
220,Dead in Her Tracks [Kindle in Motion] (Rogue Winter Novella Book 2),B00YG3S9UU
221,Writing the Breakout Novel Workbook,158297263X
222,Claudia and Mean Janine (The Baby-Sitters Club Graphic Novel #4): A Graphix Book,0545886228
223,"Frankenstein: The Graphic Novel (American English, Original Text)",1906332495
224,How NOT to Summon a Demon Lord: Volume 1,171835200X
225,The Stronger Chase: A Chase Fulton Novel (Chase Fulton Novels Book 3),B07HFMDR6Z
226,On A Cold Christmas Eve (The Seldon Park Christmas Novellas Book 2),B00HET7OLS
227,The Complete Aubrey/Maturin Novels (Vol. 5 volumes),039306011X
228,The Extraordinary Life of Sam Hell: A Novel,B074H8NFDF
229,The Homesteader A Novel,B007P77H5C
230,There There: A novel,0525520376
231,"Her Grave Secrets (Rogue River Novella, Book 3)",B00LV4HZFM
232,How To Write A Novel The Easy Way Using The Pulp Fiction Method To Write Better Novels: Writing Skills,B00MMOZ81I
233,"Konosuba: God's Blessing on This Wonderful World!, Vol. 1: Oh! My Useless Goddess!",0316553379
234,The Witch Elm: A Novel,0735224625
235,An Archdemon's Dilemma: How to Love Your Elf Bride: Volume 2,B07H57RGF8
236,"That Time I Got Reincarnated as a Slime, Vol. 1 (light novel) (That Time I Got Reincarnated as a Slime (light novel))",B076H132D2
237,Grimgar of Fantasy and Ash (Light Novel) Vol. 8,1626929114
238,We Were Mothers: A Novel,B0798PW3C9
239,The Alchemist: A Graphic Novel (an illustrated interpretation of The Alchemist),0062024329
240,Second Fiddle Flirt (Cajun Two-Step Novellas Book 1),B077G4RX2L
241,"Bah, Humbug! (A Christmas Street Romantic Comedy Novella)",B005ME39HU
242,Amagi Brilliant Park: Volume 2,B07HLHJCDT
243,Be Prepared,1626724458
244,Didn't I Say To Make My Abilities Average In The Next Life?! Light Novel Vol. 1,B078T1H829
245,"Heroes of Olympus, Book One:  The Lost Hero: The Graphic Novel (The Heroes of Olympus: The Graphic Novel 1)",B00NYGF46C
246,The Lost Ones (A Quinn Colson Novel Book 2),B0074VTGUS
247,Georgia: A Novel of Georgia O'Keeffe,0812981863
248,"The Irregular at Magic High School, Vol. 9 (light novel): Visitor Arc, Part I",1975327144
249,V for Vendetta,140120841X
250,Love Burn: the full novel,1980760241
251,Fall From Grace: A Christian Romance Novel (Glen Ellen Series Book 1),B00U07GL3I
252,Promising a Rose (Free Novella) (Peace in the Valley),B072FLDCJ3
253,Newton and Polly: A Novel of Amazing Grace,B01CBM4582
254,The Complete Handbook of Novel Writing: Everything You Need to Know to Create & Sell Your Work,1440348391
255,Twilight: The Graphic Novel Collector's Edition (The Twilight Saga),0316217174
256,Strongest Gamer: Let's Play in Another World (Light Novel) Vol. 1,B07CGZZT1J
257,The Fallen (A Quinn Colson Novel),B01MPWT7AQ
258,The Curious Life of the Unfortunate Duchess: A Historical Regency Romance Novel,B07H1XWDYX
259,San Diego : Love Comes in Many Forms (Sky Romance Novels Book 1),B00IMMYAP4
260,"Death March to the Parallel World Rhapsody, Vol. 7 (light novel) (Death March to the Parallel World Rhapsody (light novel))",1975301552
261,Pardonable Lies: A Maisie Dobbs Novel (Maisie Dobbs Novels),0312426216
262,Origin: A Novel (Robert Langdon),0385514239
263,The Italian Party: A Novel,B075DB8XHR
264,"New Moon: The Graphic Novel, Vol. 1 (The Twilight Saga)",0316217182
265,The Garden on Sunset: A Novel of Golden-Era Hollywood (Hollywood's Garden of Allah Novels Book 1),B006NYKTNU
266,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 8 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?)",B01LWP1QCP
267,Night Passage (Jesse Stone Novels Book 1),B005F4CCYS
268,Driftwood Creek (A Sunset Bay Novel),B07639DHFH
269,"Maisie Dobbs Bundle #1, Pardonable Lies and Messenger of Truth: Books 3 and 4 (Maisie Dobbs Novels)",B004M18MAI
270,Make Me Even and I'll Never Gamble Again: A Novel,1948122057
271,Catalyst (Star Wars): A Rogue One Novel,B01J6GNK6O
272,The Communist Manifesto: A Graphic Novel,1910593494
273,Tempt Me With Forever (A NOLA Heart Novel Book 4),B0776DRSJG
274,The Historical Novel,0803279108
275,Back to Lazarus: A Sydney Brennan Novel (Sydney Brennan Mysteries Book 1),B00LP9C9JU
276,Field of Bones: A Brady Novel of Suspense (Joanna Brady Mysteries),B0756DFJZR
277,FIGHT(A Bad Boy MMA Romantic Suspense Novel),B01B8S01JW
278,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 10 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?)",B0721JYR82
279,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 4 (light novel)",B00W22IKWO
280,You: A Novel (Lifetime),B00IGVH9LI
281,Percy Jackson and the Olympians:  The Sea of Monsters: The Graphic Novel (Percy Jackson and the Olympians: The Graphic Novel Book 2),B00CJ05EBY
282,In the Belly of the Beast and Other Tales of Cthulhu Wars: A Cthulhu Wars Novel,0999539027
283,My Notorious Life: A Novel,B00A28HTKO
284,HOSTILE: A Military Romance Novel (Military Men Book 1),B018RFX3LC
285,The Labyrinth of the Spirits: A Novel (Cemetery of Forgotten Books),0062668692
286,Last Train to Istanbul: A Novel,B00BJ8YD78
287,Farm City: The Education of an Urban Farmer,0143117289
288,High Profile (Jesse Stone Novels Book 6),B000PC0S82
289,"The Irregular at Magic High School, Vol. 1 (light novel): Enrollment Arc, Part I",B0763KPNVH
290,The Book of Speculation: A Novel,B00QQ450BI
291,A Midsummer Night's Dream The Graphic Novel: Original Text (Shakespeare Range),1907127283
292,Pimp My Fiction: Write A Bestselling Novel By Learning Powerful Writing Techniques,B0190T0Z24
293,"The Charlotte and Thomas Pitt Novels Volume One: The Cater Street Hangman, Callander Square, and Paragon Walk",B07CNB8NFS
294,Anya's Ghost,1250040019
295,Welcome to Moonlight Harbor (A Moonlight Harbor Novel),B076ZRR7B2
296,The President Is Missing: A Novel,B072F3MYRH
297,"Goblin Slayer, Vol. 1 (light novel) (Goblin Slayer (Light Novel))",031650159X
298,Going Home (The Home Series Book 1),B00NP272BA
299,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 1 (light novel)",B00LZYBVJ4
300,Robert B. Parker's The Hangman's Sonnet (A Jesse Stone Novel),B01MSAN0SV
301,"No Game No Life, Vol. 7 (light novel)",0316316431
302,Holy Ghost (A Virgil Flowers Novel),0735217327
303,Free to Love: A Christian Romance Novel (Inspiration Point Series Book 1),B00RSID70C
304,Finding Cinderella: A Novella,B00FNWRSCI
305,From Ashes To Flames (A West Brothers Novel),B07CSWLP64
306,Any Way You Slice It: An Upper Crust Novella (Upper Crust Series Book 1),B00MXFOMD6
307,Beyond the Eyes: YA Paranormal Romance Novel (Book 1),B0088JF7HQ
308,The City of Ember,0375867937
309,Miss Kane's Christmas : A Novella (A Christmas Central Romantic Comedy Book 1),B009SU0NVO
310,All We Ever Wanted: A Novel,0399178929
311,Missing: A Private Novel,B01BU1IUPE
312,Complete Novels,B07H5ZZXGK
313,DC Comics novels - Batman: The Killing Joke,1785658107
314,The Innocents (A Quinn Colson Novel),B01BD1SU8S
315,The Forsaken (A Quinn Colson Novel Book 4),B00G3L11BM
316,All That She Wants: (Part 1 The Billionaire's Point of View),B00HNKVDOW
317,Lake Success: A Novel,0812997417
318,The Mystery Knight: A Graphic Novel,0345549392
319,When The Stranger Came: Suspense thriller (Novella),B00MI8LFLU
320,Hot Pursuit (A Hostile Operations Team Novel - Book 1),B00DY9FEDM
321,The Last Ballad: A Novel,B01N9PTM35
322,"The Matchmaker, a novel: Clean New Adult Contemporary Romance Fiction (The Matchmaker Project series Book 1)",B00PSM4ODY
324,Then Came You: A Bradford Sisters Novella,B06XCCMSPQ
325,And After the Fire: A Novel,B013PKGTGK
326,American Gods Volume 1: Shadows (Graphic Novel),1506703860
327,The House on Tenafly Road: A Historical Novel (The Tenafly Road Series Book 1),B01DMB3XNE
328,Outbreak Company: Volume 6,B07HNQNSHD
329,"Death March to the Parallel World Rhapsody, Vol. 4 (light novel) (Death March to the Parallel World Rhapsody (light novel))",B073P46WNY
330,Sword Art Online Progressive 5 (light novel),1975328140
331,"A Taste for Vengeance: A Bruno, Chief of Police novel (Bruno, Chief of Police Series)",B075PVQHK3
332,Cross Breed (A Novel of the Breeds),B073R1NKL6
333,Romance: The Diary - A Romance Novel: Diary of an American Dreamer Series - Book 1 (Diary of an American Dreamer Romance Young Adult Romance Historical Romance),B01EIX04S2
334,The Cost of Betrayal: Three Romantic Suspense Novellas,B07D6XP73F
335,The People We Hate at the Wedding: A Novel,B01MSLHEZI
336,Isaiah's Daughter: A Novel of Prophets and Kings,B01NBSOBYA
337,Arifureta: From Commonplace to World's Strongest (Light Novel) Vol. 3,1626928452
338,DC Essential Graphic Novels 2017 (DC Comics Essentials),B01N76Y9NL
339,"The Mortal Instruments: The Graphic Novel, Vol. 1",031646581X
340,"Death March to the Parallel World Rhapsody, Vol. 3 (light novel) (Death March to the Parallel World Rhapsody (light novel))",B06XC2W135
341,"The Novels of Madeleine L'Engle Volume One: The Other Side of the Sun, A Live Coal in the Sea, and A Winter’s Love",B07B3N7F5Z
342,MEG: The Graphic Novel,B07GDGQYQ6
343,Romance: Woodhavens Folly: A contemporary romance novel (The Alpha Billionaire Contemporary Romance Collection Book 1),B014K2TQRG
344,The Broken Places (A Quinn Colson Novel Book 3),B00AI52PAK
345,"That Time I Got Reincarnated as a Slime, Vol. 3 (light novel) (That Time I Got Reincarnated as a Slime (light novel))",1975301137
346,"That Time I Got Reincarnated as a Slime, Vol. 2 (light novel) (That Time I Got Reincarnated as a Slime (light novel))",B076GZKN22
347,"Death March to the Parallel World Rhapsody, Vol. 1 (light novel) (Death March to the Parallel World Rhapsody (light novel))",B01MD0M53B
348,Gilchrist: A Novel,B075X9K9WN
349,"Re:ZERO, Vol. 2 - light novel (Re:ZERO -Starting Life in Another World-)",0316398373
350,Need to Know: A Novel,B07257N5WW
351,She Rides Shotgun: A Novel,B00OG9IX0K
352,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 9 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?)",B06Y5DM665
353,Less (Winner of the Pulitzer Prize): A Novel,B01MSICPW3
354,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 6 (light novel)",B01922I13Y
355,"Goblin Slayer Side Story: Year One, Vol. 1 (light novel) (Goblin Slayer Side Story: Year One (light novel))",1975302842
356,Spanish Novels: Intermediate's Bundle B1 - Five Spanish Short Stories for Intermediates in a Single Book (Learn Spanish Boxset #3) (Spanish Edition),B01NCOQTZO
357,Even Cowgirls Get the Blues: A Novel,055334949X
358,Gretel: A Fairytale Retold [Novella]: A Lesbian Romance,B00DSOCGSY
360,"Elemental Origins: The Complete Series: (Water, Fire, Earth, Air, Aether, Ensemble Novel)",B07FC753G7
361,How to Write a Novel Using the Snowflake Method (Advanced Fiction Writing) (Volume 1),1500574058
362,Kristy's Great Idea: Full-Color Edition (The Baby-Sitters Club Graphix #1),0545813875
363,This Fallen Prey: A Rockton Novel (Casey Duncan Novels),B0714JB1GV
364,The Master of Ragnarok & Blesser of Einherjar: Volume 4,B07HNMB3R1
365,How a Realist Hero Rebuilt the Kingdom (Light Novel) Vol. 1,1626929076
366,Little Novels,B0082S5FAW
367,The Ranger (A Quinn Colson Novel Book 1),B004XFYWTS
368,Skin 2.0: A Cyberpunk Science Fiction Novella (The Cyborg Sectors Series Book 1),B01F344TTU
369,Legend: The Graphic Novel,0399171894
370,A Game of Thrones: The Graphic Novels Volumes 1-4,0007950306
371,Der Werwolf: The Annals of Veight Volume 2,B07HM4CYFR
372,Kilts and Kisses: A Kilts and Kisses Novella,B014GDNUDA
373,Escape Clause (A Virgil Flowers Novel),B01BD1SSA8
374,China Rich Girlfriend: A Novel (Crazy Rich Asians Trilogy),B00NRQORA8
375,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",0060780940
376,Mr. Hollywood (A Celebrity Novel Book 1),B0789772V2
377,"Steve McQueen In Le Mans: Art Graphic Novel - Best Sports Illustrated Classic Cars Graphic Novel For Adults, Teens, Kids, and Young Readers (PART 1) - English Version",3952470910
378,Toradora! (Light Novel) Vol. 4,1626929890
379,Novel Starter: 50 Days of Exercises and Advice to Get Your Novel Off the Ground,1945753080
380,Burning Bright (A Peter Ash Novel),B01EH1EKDK
381,Love Me Sweet (A Bell Harbor Novel),B00LU2XVYY
382,"Twilight: The Graphic Novel, Vol. 2 (The Twilight Saga)",0316133191
383,Death in Paradise (Jesse Stone Novels Book 3),B005F4CDRO
384,Seirei Gensouki: Spirit Chronicles Volume 2,B07HNZ5SXF
385,The Magic in this Other World is Too Far Behind! Volume 7,B07HKPL9W2
386,"Konosuba: God's Blessing on This Wonderful World!, Vol. 5 (light novel): Crimson Magic Clan, Let's & Go!! (Konosuba (light novel))",B079DPRQT3
387,Pope Joan: A Novel,B002BH5HO4
388,Skin Game (A Teddy Fay Novel),0735219168
389,Ray Bradbury's Fahrenheit 451: The Authorized Adaptation,080905101X
390,"My Youth Romantic Comedy Is Wrong, As I Expected, Vol. 7 (light novel)",1975384121
